id	notable_types
/m/0269c6b	
/m/0269cmz	/people/deceased_person,/people/person
/m/0269cx6	
/m/0269d7k	
/m/0269fs	
/m/0269fzp	
/m/0269h3v	
/m/0269hm1	/people/deceased_person,/people/family_member,/people/person,/royalty/noble_person
/m/0269klm	
/m/0269mzw	/people/deceased_person,/tv/tv_actor,/film/cinematographer,/film/actor,/people/person
/m/0269n18	/biology/organism_classification
/m/0269n5r	/architecture/structure,/projects/project_focus
/m/0269sbf	/people/person,/book/author
/m/0269tfm	/education/academic,/people/person,/organization/organization_founder
/m/0269vqy	/people/person,/people/family_member,/royalty/noble_person,/people/deceased_person
/m/0269wdm	/boats/ship
/m/0269xj6	
/m/0269yw7	/location/location,/metropolitan_transit/transit_stop
/m/0269z6l	
/m/026_1mj	/sports/pro_athlete,/soccer/football_player,/people/person
/m/026_3rz	/people/person,/military/military_person
/m/026_4nh	
/m/026_5h9	
/m/026_6_g	/government/politician,/people/deceased_person,/people/person
/m/026_8mq	/location/location,/location/citytown,/location/statistical_region,/location/dated_location
/m/026__vx	/music/composition
/m/026_bzt	
/m/026_c71	/people/deceased_person,/people/person
/m/026_d3z	/tv/tv_program
/m/026_ftb	/location/location,/location/citytown
/m/026_g1z	
/m/026_grm	/influence/influence_node,/people/person,/education/academic
/m/026_j8t	/library/public_library_system,/location/location
/m/026_jl3	
/m/026_k4b	/biology/organism_classification
/m/026_kwr	
/m/026_l2m	
/m/026_m0x	/music/artist,/people/person,/music/group_member
/m/026_m_w	/biology/organism_classification
/m/026_md7	/law/judge,/people/person
/m/026_p7r	/people/person,/sports/pro_athlete,/soccer/football_player
/m/026_qgz	/geography/waterfall,/location/location,/geography/geographical_feature,/geography/body_of_water
/m/026_qr6	/film/film,/media_common/netflix_title
/m/026_rch	/education/educational_institution,/business/employer,/organization/organization,/education/school
/m/026_sjm	/architecture/structure,/projects/project_focus
/m/026_thx	/music/artist,/music/musical_group
/m/026_vd3	/aviation/airport,/location/location
/m/026_wk8	/people/deceased_person,/people/person
/m/026_wq4	/time/event,/sports/sports_league_season
/m/026_xbf	/government/politician,/people/deceased_person,/people/person
/m/026_xx9	/people/deceased_person,/film/actor,/people/person
/m/026_y7n	/sports/sports_team
/m/026_y90	/film/film
/m/026_z5y	/government/politician,/people/deceased_person,/people/person
/m/026_zvl	/soccer/football_player,/sports/pro_athlete,/people/person
/m/026b0m7	/fictional_universe/fictional_character
/m/026b253	/people/person,/sports/pro_athlete,/soccer/football_player,/olympics/olympic_athlete
/m/026b37x	
/m/026b3xk	
/m/026b43f	
/m/026b4vv	/location/location,/location/dated_location
/m/026b7wt	/location/location
/m/026b88k	/internet/website
/m/026b9d9	
/m/026b_dy	/organization/organization
/m/026bbby	/location/location
/m/026bbm5	
/m/026bcdc	
/m/026bd0q	/location/australian_local_government_area,/location/location,/location/administrative_division,/location/statistical_region,/location/dated_location
/m/026bdqd	/people/person,/book/author,/film/actor,/film/director,/film/writer,/people/deceased_person
/m/026bfsv	/time/event
/m/026bgb0	/military/military_person,/people/person,/people/deceased_person
/m/026bj5k	/people/person,/book/author
/m/026bjgh	/broadcast/broadcast,/broadcast/radio_station
/m/026bk3v	/boats/ship
/m/026bk5	/government/politician,/people/person
/m/026bkg5	
/m/026bmyy	/basketball/basketball_player,/sports/pro_athlete,/people/measured_person,/people/person
/m/026bn4t	/music/record_label,/organization/organization,/business/employer,/business/business_operation
/m/026bqsg	/cvg/computer_videogame
/m/026bt26	/location/location,/metropolitan_transit/transit_stop
/m/026bv_h	/organization/organization
/m/026bvhb	/visual_art/visual_artist,/people/deceased_person,/people/person
/m/026bwfm	/people/person,/government/politician,/people/deceased_person
/m/026bxsn	/people/deceased_person,/people/person
/m/026bzdm	/location/citytown,/location/statistical_region,/location/dated_location,/location/location
/m/026c1s9	/fashion/textile,/base/textiles/textile
/m/026c4z3	/location/dated_location,/location/citytown,/location/location,/location/statistical_region
/m/026c5t_	/location/location,/location/administrative_division,/location/ar_department
/m/026c7x3	/sports/pro_athlete,/olympics/olympic_athlete,/people/person
/m/026c9ml	
/m/026c_xh	/fictional_universe/fictional_character
/m/026cbc	/architecture/structure,/location/location,/travel/tourist_attraction,/projects/project_focus,/architecture/museum
/m/026cc1c	/boats/ship
/m/026ccp9	/biology/organism_classification
/m/026ccts	/film/film,/award/award_winning_work,/media_common/netflix_title,/award/award_nominated_work
/m/026cd10	/biology/organism_classification
/m/026cflw	
/m/026ch65	
/m/026ch_8	/biology/organism_classification
/m/026clm7	
/m/026cn_r	/book/written_work,/book/short_non_fiction,/book/published_work
/m/026cq05	
/m/026cqlh	/cvg/computer_videogame
/m/026cr8v	/film/actor,/people/person,/tv/tv_actor
/m/026crjs	/people/person
/m/026cs4d	/location/location,/location/dated_location,/location/statistical_region,/location/citytown
/m/026ct41	/people/deceased_person,/people/person
/m/026cwkf	/biology/organism_classification
/m/026cx6	/military/military_person,/people/person,/people/deceased_person,/government/politician,/user/skud/embassies_and_consulates/ambassador
/m/026cx7t	/biology/organism_classification
/m/026d0b7	/sports/pro_athlete,/people/person,/olympics/olympic_athlete
/m/026d0fq	
/m/026d2ff	/sports/pro_athlete,/soccer/football_player,/people/person
/m/026d4qr	/projects/project_focus,/location/location,/architecture/structure,/sports/sports_facility,/architecture/venue
/m/026d654	/sports/pro_athlete,/people/person,/people/deceased_person,/olympics/olympic_athlete
/m/026d7t2	/cvg/computer_videogame
/m/026d_84	/people/person
/m/026d_j1	
/m/026db08	/biology/organism_classification
/m/026db4r	/location/location
/m/026db_7	/people/person
/m/026dbh1	/sports/sports_team,/soccer/football_team
/m/026df9w	/location/location
/m/026dfv0	/people/person,/book/author
/m/026dfzj	/biology/organism_classification
/m/026dggb	
/m/026djys	/film/actor,/people/person,/influence/influence_node,/people/deceased_person
/m/026dk4n	/book/literary_series
/m/026dk60	/architecture/architectural_structure_owner,/architecture/museum,/location/location,/organization/organization,/travel/tourist_attraction,/base/usnris/nris_listing,/protected_sites/listed_site
/m/026dk_3	/people/person,/people/deceased_person
/m/026dlsl	
/m/026dpt7	/time/event,/music/concert_tour
/m/026drln	/people/person
/m/026drn0	
/m/026ds_b	/location/statistical_region,/location/administrative_division,/location/citytown,/location/dated_location,/location/location
/m/026dt00	/location/location
/m/026dvzm	/location/location
/m/026dwxx	/music/album
/m/026dx3s	/organization/organization,/cvg/cvg_developer,/business/employer,/business/business_operation
/m/026dxg2	
/m/026dxtf	/american_football/football_player,/people/person,/sports/pro_athlete
/m/026dyn7	/location/location,/education/school_district
/m/026f10y	
/m/026f1d	
/m/026f1d8	
/m/026f1ql	/book/author,/people/person
/m/026f39h	/film/film
/m/026f3t_	
/m/026f6lc	/time/event
/m/026f747	/location/location,/location/dated_location,/location/statistical_region,/location/citytown
/m/026f78q	/soccer/football_player,/sports/pro_athlete,/people/person
/m/026f8qs	/architecture/structure,/projects/project_focus,/location/location
/m/026fb5j	/architecture/structure,/projects/project_focus,/location/location
/m/026fbgg	/location/location
/m/026fdn9	
/m/026ff65	/time/event,/sports/sports_league_season
/m/026fj1_	/people/measured_person,/sports/pro_athlete,/american_football/football_player,/people/person
/m/026fltd	
/m/026fp8v	
/m/026fpf9	/people/deceased_person,/visual_art/visual_artist,/people/person
/m/026frdl	
/m/026fs9t	/book/newspaper,/book/periodical
/m/026fskq	/people/person,/people/deceased_person,/government/politician,/government/u_s_congressperson
/m/026ftt	/user/coco/science/concepts_theories
/m/026ftt8	/people/person,/people/deceased_person,/government/politician,/government/u_s_congressperson
/m/026fwjz	/music/album
/m/026fwyp	/education/educational_institution,/location/statistical_region,/location/dated_location,/location/location,/organization/organization,/location/citytown
/m/026fx_0	/music/group_member,/people/person,/music/artist
/m/026fxfh	/user/robert/default_domain/given_name,/base/givennames/given_name
/m/026fyds	/people/person,/base/crime/lawyer
/m/026fzkx	/location/citytown,/location/administrative_division,/location/statistical_region,/location/dated_location,/location/location
/m/026g174	/book/magazine,/business/employer,/book/periodical
/m/026g2tp	
/m/026g4d3	/location/location
/m/026g69c	/music/album
/m/026g77n	/film/person_or_entity_appearing_in_film,/tv/tv_actor,/film/actor,/film/director,/people/person
/m/026g790	
/m/026g85y	/government/politician,/user/narphorium/people/nndb_person,/people/person,/people/deceased_person
/m/026g9tw	/transportation/road,/location/location
/m/026gbcf	/people/deceased_person,/government/politician,/people/person
/m/026gby9	/organization/organization,/education/university,/location/location,/business/employer,/education/educational_institution
/m/026gc8n	/sports/sports_team,/soccer/football_team
/m/026gcjk	/book/author,/book/book_subject,/people/person,/award/award_winner
/m/026gd6y	/people/person,/book/author,/people/deceased_person
/m/026gfd1	/government/government_agency,/organization/organization
/m/026ggh	/computer/software_license
